[2019-07-28 13:37:59,281] {day-2.1-error-handler-log/app.py:20} WARNING - REQUEST_LOG	{"request": {}, "response": {"status": "NOT_FOUND", "message": "Person not found"}}
[2019-07-28 13:38:01,739] {day-2.1-error-handler-log/app.py:20} WARNING - REQUEST_LOG	{"request": {}, "response": [{"id": 0, "name": "Person ke 0", "age": 10, "sex": "male"}, {"id": 1, "name": "Person ke 1", "age": 30, "sex": "female"}, {"id": 2, "name": "Person ke 2", "age": 66, "sex": "female"}, {"id": 3, "name": "Person ke 3", "age": 26, "sex": "male"}, {"id": 4, "name": "Person ke 4", "age": 65, "sex": "female"}, {"id": 5, "name": "Person ke 5", "age": 37, "sex": "female"}, {"id": 6, "name": "Person ke 6", "age": 16, "sex": "female"}, {"id": 7, "name": "Person ke 7", "age": 34, "sex": "female"}, {"id": 8, "name": "Person ke 8", "age": 21, "sex": "male"}, {"id": 9, "name": "Person ke 9", "age": 29, "sex": "female"}, {"id": 10, "name": "Person ke 10", "age": 31, "sex": "female"}, {"id": 11, "name": "Person ke 11", "age": 42, "sex": "male"}, {"id": 12, "name": "Person ke 12", "age": 75, "sex": "male"}, {"id": 13, "name": "Person ke 13", "age": 78, "sex": "female"}, {"id": 14, "name": "Person ke 14", "age": 20, "sex": "male"}]}
[2019-07-28 13:38:04,608] {day-2.1-error-handler-log/app.py:23} WARNING - REQUEST_LOG	{"request": {"name": "RachmanKamil", "age": 26, "sex": "Male"}, "response": {"status": "NOT_FOUND", "message": "Person not found"}}
[2019-07-30 09:49:53,181] {day-2.1-error-handler-log/app.py:20} WARNING - REQUEST_LOG	{"request": {}, "response": [{"id": 0, "name": "Person ke 0", "age": 49, "sex": "male"}, {"id": 1, "name": "Person ke 1", "age": 64, "sex": "male"}, {"id": 2, "name": "Person ke 2", "age": 29, "sex": "female"}, {"id": 3, "name": "Person ke 3", "age": 22, "sex": "female"}, {"id": 4, "name": "Person ke 4", "age": 78, "sex": "female"}, {"id": 5, "name": "Person ke 5", "age": 74, "sex": "male"}, {"id": 6, "name": "Person ke 6", "age": 42, "sex": "female"}, {"id": 7, "name": "Person ke 7", "age": 60, "sex": "male"}, {"id": 8, "name": "Person ke 8", "age": 66, "sex": "female"}, {"id": 9, "name": "Person ke 9", "age": 18, "sex": "female"}, {"id": 10, "name": "Person ke 10", "age": 43, "sex": "male"}, {"id": 11, "name": "Person ke 11", "age": 12, "sex": "male"}, {"id": 12, "name": "Person ke 12", "age": 36, "sex": "female"}, {"id": 13, "name": "Person ke 13", "age": 28, "sex": "male"}, {"id": 14, "name": "Person ke 14", "age": 48, "sex": "male"}]}
[2019-07-30 09:50:02,052] {day-2.1-error-handler-log/app.py:20} WARNING - REQUEST_LOG	{"request": {}, "response": [{"id": 0, "name": "Person ke 0", "age": 49, "sex": "male"}, {"id": 1, "name": "Person ke 1", "age": 64, "sex": "male"}, {"id": 2, "name": "Person ke 2", "age": 29, "sex": "female"}, {"id": 3, "name": "Person ke 3", "age": 22, "sex": "female"}, {"id": 4, "name": "Person ke 4", "age": 78, "sex": "female"}, {"id": 5, "name": "Person ke 5", "age": 74, "sex": "male"}, {"id": 6, "name": "Person ke 6", "age": 42, "sex": "female"}, {"id": 7, "name": "Person ke 7", "age": 60, "sex": "male"}, {"id": 8, "name": "Person ke 8", "age": 66, "sex": "female"}, {"id": 9, "name": "Person ke 9", "age": 18, "sex": "female"}, {"id": 10, "name": "Person ke 10", "age": 43, "sex": "male"}, {"id": 11, "name": "Person ke 11", "age": 12, "sex": "male"}, {"id": 12, "name": "Person ke 12", "age": 36, "sex": "female"}, {"id": 13, "name": "Person ke 13", "age": 28, "sex": "male"}, {"id": 14, "name": "Person ke 14", "age": 48, "sex": "male"}]}
[2019-07-30 10:57:15,010] {day-2.1-error-handler-log/app.py:28} WARNING - REQUEST_LOG	{"code": "400 BAD REQUEST", "uri": "/person?", "request": {}, "response": {"message": "The browser (or proxy) sent a request that this server could not understand."}}
[2019-07-30 10:57:15,885] {day-2.1-error-handler-log/app.py:28} WARNING - REQUEST_LOG	{"code": "400 BAD REQUEST", "uri": "/person?", "request": {}, "response": {"message": "The browser (or proxy) sent a request that this server could not understand."}}
[2019-07-30 10:58:39,669] {day-2.1-error-handler-log/app.py:29} WARNING - REQUEST_LOG	{"method": "POST", "code": "400 BAD REQUEST", "uri": "/person?", "request": {}, "response": {"message": "The browser (or proxy) sent a request that this server could not understand."}}
[2019-07-30 11:01:32,380] {day-2.1-error-handler-log/app.py:29} WARNING - REQUEST_LOG	{"method": "GET", "code": "404 NOT FOUND", "uri": "/person/16?", "request": null, "response": {"status": "NOT_FOUND", "message": "Person not found"}}
[2019-07-30 11:01:37,227] {day-2.1-error-handler-log/app.py:29} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/person/1?", "request": null, "response": {"id": 1, "name": "Person ke 1", "age": 60, "sex": "male"}}
[2019-07-30 11:03:02,919] {day-2.1-error-handler-log/app.py:29} WARNING - REQUEST_LOG	{"method": "GET", "code": "200 OK", "uri": "/person/1?", "request": {"name": "asd"}, "response": {"id": 1, "name": "Person ke 1", "age": 60, "sex": "male"}}
